person_age,person_gender,person_education,person_income,person_emp_exp,person_home_ownership,loan_intent,loan_int_rate,loan_percent_income,cb_person_cred_hist_length,previous_loan_defaults_on_file,years_to_pay,loan_amount,monthly_payment
22.0,female,Master,71948.0,0,RENT,PERSONAL,16.02,0.49,3.0,No,28,280500,834
25.0,female,High School,12438.0,3,MORTGAGE,MEDICAL,12.87,0.44,3.0,No,30,317500,881
23.0,female,Bachelor,79753.0,0,RENT,MEDICAL,15.23,0.44,2.0,No,31,337500,907
24.0,male,Master,66135.0,1,RENT,MEDICAL,14.27,0.53,4.0,No,28,293000,872
21.0,female,High School,12951.0,0,OWN,VENTURE,7.14,0.19,2.0,No,28,266000,791
26.0,female,Bachelor,93471.0,1,RENT,EDUCATION,12.42,0.37,3.0,No,31,350500,942
24.0,female,High School,95550.0,5,RENT,MEDICAL,11.11,0.37,4.0,No,28,292500,870
24.0,female,Associate,100684.0,3,RENT,PERSONAL,8.9,0.35,2.0,No,27,272000,839
21.0,female,High School,12739.0,0,OWN,VENTURE,14.74,0.13,3.0,No,31,320000,860
22.0,female,High School,102985.0,0,RENT,VENTURE,10.37,0.34,4.0,No,30,310500,862
21.0,female,Associate,13113.0,0,OWN,HOMEIMPROVEMENT,8.63,0.34,2.0,No,31,325500,875
23.0,male,Bachelor,114860.0,3,RENT,VENTURE,7.9,0.3,2.0,No,28,286500,852
26.0,male,Master,130713.0,0,RENT,EDUCATION,18.39,0.27,4.0,No,31,354000,951
23.0,female,High School,111369.0,0,RENT,MEDICAL,20.0,0.31,4.0,No,32,347000,903
23.0,male,Bachelor,136628.0,0,RENT,DEBTCONSOLIDATION,18.25,0.26,4.0,No,32,354500,923
24.0,female,Master,14283.0,1,MORTGAGE,EDUCATION,10.99,0.12,2.0,No,31,339500,912
22.0,female,Master,79255.0,0,RENT,EDUCATION,17.58,0.43,4.0,No,32,345500,899
22.0,male,Bachelor,97420.0,1,RENT,PERSONAL,14.54,0.35,4.0,No,32,345500,899
24.0,female,High School,82443.0,0,RENT,HOMEIMPROVEMENT,12.68,0.4,3.0,No,30,327000,908
21.0,female,Associate,14288.0,0,MORTGAGE,VENTURE,17.74,0.32,3.0,No,31,313000,841
24.0,female,Bachelor,79054.0,1,RENT,HOMEIMPROVEMENT,9.99,0.41,3.0,No,32,350000,911
21.0,female,Bachelor,14988.0,0,OTHER,EDUCATION,12.84,0.27,2.0,No,28,276500,822
21.0,male,High School,14858.0,0,OWN,MEDICAL,11.12,0.13,3.0,No,29,294500,846
26.0,male,Bachelor,114645.0,2,RENT,HOMEIMPROVEMENT,14.17,0.27,3.0,No,31,340500,915
21.0,male,Associate,15150.0,0,OWN,EDUCATION,7.51,0.17,4.0,No,30,300000,833
22.0,female,Bachelor,58868.0,0,RENT,EDUCATION,18.39,0.51,2.0,No,30,303000,841
24.0,male,High School,78026.0,3,RENT,DEBTCONSOLIDATION,14.54,0.38,3.0,No,28,291000,866
25.0,male,Bachelor,90785.0,4,RENT,HOMEIMPROVEMENT,16.89,0.33,4.0,No,30,324500,901
23.0,female,High School,86811.0,0,RENT,DEBTCONSOLIDATION,11.01,0.35,4.0,No,29,301000,864
26.0,male,Bachelor,75503.0,5,RENT,MEDICAL,17.99,0.4,2.0,No,29,308000,885
24.0,female,High School,15082.0,0,OWN,VENTURE,12.69,0.17,3.0,No,30,315500,876
26.0,male,Bachelor,98230.0,2,RENT,PERSONAL,7.49,0.31,3.0,No,29,311000,893
22.0,female,High School,80838.0,0,RENT,MEDICAL,12.69,0.37,3.0,No,31,322500,866
26.0,male,Master,107957.0,2,RENT,DEBTCONSOLIDATION,6.62,0.28,3.0,No,30,327000,908
24.0,female,Bachelor,94649.0,2,RENT,DEBTCONSOLIDATION,11.01,0.32,4.0,No,30,312000,866
23.0,male,High School,94550.0,1,RENT,DEBTCONSOLIDATION,18.62,0.32,3.0,No,28,285000,848
23.0,male,Bachelor,111153.0,3,RENT,PERSONAL,15.23,0.27,3.0,No,31,324000,870
23.0,female,Associate,117250.0,0,RENT,VENTURE,10.65,0.26,2.0,No,31,326000,876
26.0,female,High School,316466.0,6,MORTGAGE,EDUCATION,11.01,0.03,4.0,No,28,289500,861
25.0,female,Associate,267671.0,0,MORTGAGE,MEDICAL,15.7,0.09,2.0,No,28,291000,866
22.0,male,Master,85191.0,0,RENT,EDUCATION,15.99,0.34,3.0,No,32,350000,911
25.0,male,High School,15162.0,1,OWN,MEDICAL,11.01,0.2,3.0,No,27,282000,870
22.0,male,Associate,69042.0,0,RENT,MEDICAL,11.01,0.41,2.0,No,29,299000,859
